Salle;Adresse;Numéro de téléphone;Email;Type
Acro Gym La Marsa;Passage sleheddine bouchoucha , 2078 La Marsa, Tunis;71748007 / 98 555 814 / 54 854140;kidmania12@yahoo.fr;Salles de sport
MK Club;Marché Municipal Menzah 9, Tunis, Gouvernorat de Tunis, Tunisie;71 827 939;None;Salles de sport
Salle de sport Anas+;Salle de sport Anas, Route Gremda, Sfax, Tunisie;53 266 222;None;Salles de sport
Amazonia Gym;Amazonia Gym sfax Tunisie;98 290 826;None;Salles de sport
Energy Plus;Energy Plus, Sfax, Tunisie;20 239 665;None;Salles de sport
Time Sport Center;Time Sport Center, Route El Ain, Sfax, Tunisie;74 268 477 / 24 214 782 / 98 414 782;timesport11@yahoo.fr;Salles de sport
Omega+;Salle De Sport OMEGA, Sfax, Tunisie;50 949 444;issamomega@gmail.com;Salles de sport
Panda Club;Lafayette, Tunis, Gouvernorat de Tunis, Tunisie;97 173 477 / 24 220 193;None;Salles de sport
Aecor Fitness Sousse;35.857034, 10.607858;73 277 835 / 92 020 002;info@aecorfitness.com;Salles de sport
King Gym;Passerelle du Marsa de Bizerte, Bizerte, Tunisie;21 457 129;None;Salles de sport
BodyRock Gym;3 Rue El Fouledh Le Bardo, Tunis;71 663 161 / 53 101 562;darragi2006@gmail.com;Salles de sport
The Rock Gym;14 Rue Abdallah Ibn zoubair Cité Ettahrir Tunis;55 888 425;therockgym16@gmail.com;Salles de sport
MY GYM Tunisia;36.851210, 10.139379;70 865 274 / 98 474 843;tunisia@mygym.com;Salles de sport
Power Academy Tunisia;3 Rue Hammadi Fareh, Ariana, Gouvernorat de Tunis, Tunisie;97 406 940;power.academy.tunisia@gmail.com;Salles de sport
SPARTA Club;94 Rue Farhat Hached, Ez Zahra, Tunisie;55 610 719;None;Salles de sport
Zitouna Fitness;36.806309, 10.128996;21 151 569;None;Salles de sport
Madison Club Bardo;36.806747, 10.133540;55 588 840 / 31 144 888;None;Salles de sport
Recherche d’emploi dans une salle de Sport;None;50 457 667;None;Salles de sport
ACADEMIES ET TERRAINS DE FOOTBALL;Les meilleurs Parties de Foot sur Pagesport;None;None;Salles de sport
Juventus Academy Tunisia By Ooredoo – Carthage;36.849323, 10.319397;25 155 155 / 25585001 / 29 333 999 / 22 203 203;None;Salles de sport
VILLA PARK;Chotrana, Gouvernorat de l'Ariana, Tunisie;94628048 - 54828822;academyvillapark@gmail.com;Salles de sport
Olympysky Club;Boulevard du lac du nord les berges du lac 2 Tunis 1050;28 228 228 / 29 543 901;contact@olympysky.tn;Salles de sport
Forest Club Rades;Forêt Radès, Ben Arous;26 490 409 / 26 490 415;contact@forest-club.com.tn;Salles de sport
OOREDOO FOOTBALL ACADEMY BEJA;à coté de kiosqie Oil Libya, Route de Jendouba, Béja Sud 9000;21 019 999;contact.beja@ooredoofootacademy.tn;Salles de sport
JUVENTUS ACADEMY TUNISIA BY OOREDOO;Avenue Mohamed Ali Akid, Elmenzah;25585001 / 29 333 999 / 22 203 203;None;Salles de sport
SOCCER 6;10, Rue Mohamed Habib. Route de Raoued KM6. Ariana;20 003 020;contact@soccer-6.com;Salles de sport
MESSILLA FOOTBALL ET FITNESS;14 Route de Sousse, Ezzahra, Bena Arous;23 019 319 / 36 105 687;messillafootballacademy@gmail.com;Salles de sport
Planet Foot Academy;Rue 8810, Passage Chapalat Les Berges du Lac 1053 Tunis – Tunisie;71 862 182 / 26 551 000;None;Salles de sport
Centre de Formation Codama CFC;Les cotes de Carthage, Gammarth, Tunis;99 090 999 (ar) / 24 555 282 (fr);info@cfc-tunis.com;Salles de sport
IFoot Academy la Marsa;Rue Mohamed Bayrem 5, cité les pins , La Marsa , Tunisie;25 855 112;None;Salles de sport
New Generation Football;66 Rue yakot el hamaoui, la soukra ariana;24 704 782;newgenerationsport2@hotmail.com;Salles de sport
Maracana Foot Academy;Cité Chaker, borj touil, 2083 Ariana;27 349 010;None;Salles de sport
Infinity Football Club;57 rue du parc, soukra;22 164 442 / 21 033 906 / 55 434 442;benjemaasleh@gmail.com;Salles de sport
Vitatop Club;Rue Medinet Khan Younes , la Soukra;71 765 169 / 23 327 809 / 52 327 809;vitatopsoukra@yahoo.fr;Salles de sport
Wembley Academy;Sidi Daoud , (derrière carrefour) La Marsa;22 409 939 / 55239 939 / 71 854 116;wembley_academy@hotmail.com;Salles de sport
Marselone;La marsa, Tunis;42 605 000 / 42 130 000;ac.marselone@gmail.com;Salles de sport
Lake Club;Lac Dhaya, Les berge du lac, 1053 Tunis;71 655 320 / 90 203 390;lakeclub@topnet.tn;Salles de sport
TIPS Football: Ecole de Football privé en Tunisie;Avenue de la mosquée Erraoudha , La Soukra;21 444 109 / 98 203893;None;Salles de sport
Foot Land Club (Happy Land);KM 10, ROUTE MC34 MORNAG;28 870 880 / 28 860 870 / 71 360 638 / 28 852 000;None;Salles de sport
La Grinta Foot Academy;Jardin de l'Aouina, Rue Sidi Zide ,derrière Résidence Narjes A coté du Lycée Aouina;24 990 909 / 29 431 431/ 52 209 642;None;Salles de sport
Ooredoo Football Academy Monastir;Route de l'aéroport Habib Bourguiba, Jnen Elwest, Skanes, Monastir 5000;22 906 906 / 73 524 229;contactmonastir@ooredoofootacademy.com;Salles de sport
Ooredoo Football Academy Sousse;Lotissement Imen, Khezema Ouest, en face de Carrefour Market, 4051 Sousse;73 277 826 / 28 546 000;contact.sousse@ooredoofootacademy.com;Salles de sport
Arena Football Académie;Route X, à coté du Parc Stade Tunisien, (Maison des jeunes Bortal Haîder Ksar Saîd);29 299 599 / 97 095 958;arenaasjb@gmail.com;Salles de sport
Star Sport Academy;36.835388, 10.303037;29 434 327;starsportacademy.tn@gmail.com;Salles de sport
