Salle;Adresse;Ville;Numéro de téléphone;Email
Association basketball Gafsa;Salle couverte  ;Gafsa;+216 94 33 85 58 ;associationbasketballgafsa@gmail.com
Association Borj Arif Sportive;Borj Arif ;Mahdia;+216 20 82 47 93 ;borjarifsports@gmail.com
Association challenge sportive Bouhajla;Rue ali lili Bouhajla  ;Kairouan;+216 77 26 56 05  ;challengebouhajla@hotmail.com
Association Champions Karaté Monastir ;Salle Ali El May, Monastir ;Monastir;+216 94 12 19 81 ;hammoudamed2010@gmail.com
Association Clubs Sidi El Hani ;Sidi El Hani ;Sousse;+216 52 68 91 99 ;sadamoumou@hotmail.fr
Association d'Hammamet de kick boxing;Hammamet ;Nabeul;+216 26 52 35 64 ;gold.hich@hotmail.fr
Association Dar Fadhal Soukra de Minifoot;22 Rue de la paix, Dar Fadhal Soukra ;Ariana;+216 92 58 76 31 ;null
Association de boxe thailandaise et Arts Martiaux Moknine;Moknine ;Monastir;+216 50 68 78 95 ;atbsdm@live.fr
Association de l'espoir sportive;Menzel Mhiri ;Kairouan;+216 50 08 77 58 ;null
Association de Pêche Sportive et de l'environnement de Metline;Cap Zebib, Metlin ;Bizerte;+216 22 12 51 77 ;apsemetline@gmail.com
Association De Pétanque Maison Des Jeunes Helya De Monastir;@ ;Soukra;27129690 ;kharrat_marouan.info@yahoo.com
Association de Pétanque Maison des Jeunes Helya de Monastir (A.P.M.J.H.M);Maison des Jeunes Helya de Monastir ;Monastir;+216 27 129 690 ;null
Association des Arts Martiaux du Sahel;Zaouiet Sousse ;Sousse;+216 98 40 55 05 ;null
Association des champions méditerranéens des Arts Martiaux;Korba ;Nabeul;+216 54 68 68 83 ;null
Association des Sports Equestres du Kef;Boulefa  ;Kef;+216 22 37 68 29 ;null
Association des sports individuels et des arts de défense à Mateur;Mateur ;Nabeul;+216 23 25 29 83 ;shousseini13@gmail.com
Association des Sports Individuels Menzel Bouzelfa;Menzel Bouzelfa ;Nabeul;+216 53 78 63 66 ;dj.nacefabdel@gmail.com
Association des Sports Subaquatiques et de l'Environnement de Bizerte;Piscine municipale ;Bizerte;+216 21 54 19 54 ;widedmokhtar17@yahoo.fr
Association des stades sportifs (A.S.S);EL Alem Sbikha  ;Kairouan;+216 98 54 63 85 ;null
Association des Tigres Méditerranéens pour les Arts défensifs à Sfax ;Route de la Soukra ;Sfax;+216 97 01 72 05 ;defensetigres@gmail.com
Association Eagle Sportif Sfax;Route de Gabès Km 7, Cité El Moez ;Sfax;+216 26 91 39 02 ;associationeaglespotifsfax.17@gmail.com
Association El Faouez Sportif Mornaguia;El Mornaguia ;Manouba;+216 71 54 04 22 ;dpiccaso10@gmail.com
Association Espoir Sportif Féminine Jbeniana;Salle couverte ;Jebeniana;+216 22 28 24 12 ;elamal.sportif@yahoo.fr
Association Faucons Karaté Monastir;Salle Ali El May, Rbat ;Monastir;+216 98 29 68 25 / 52 29 68 25 / 55 01 03 70 ;null
Association Féminine Bizerte de Pétanque;Centre ville ;Bizerte;+216 22 78 91 99 ;null
Association Féminine de Handball Ousseltia;Salle couverte Ousseltia  ;Kairouan;+216 58 95 19 58  ;null
Association Féminine Ksour Essef;Ksour Essef ;Mahdia;+216 97 57 24 76 ;adelbrahim.office@gmail.com
Association Féminine Monastir;Salle couverte Mustafa Ben Jannet ;Monastir;+216 98 33 50 23 ;null
Association féminine Nisry Zaghouan;Municipalité Zaghouan ;Zaghouan;+216 27 02 70 28 ;anfz.zaghouan2020@gmail.com
Association Gabes des sports nautiques;Gabes, la plage ;Gabès;+216 53 09 39 89 ;null
Association IKO Tunisia pour les Arts Martiaux;Complexe Des Jeunes Sousse ;Sousse;+216 51 92 99 11 ;skashinkai@hotmail.com
Association kyokushinkai Nadhour; Maison de la jeunesse à Sidi Nagy ;Nadhour;+216 25 19 58 80 ;null
Association kyokushinkai Redeyef;salle de sport kanissa redeyef ;Redyef;+216 25 65 13 21 ;null
Association l'Élite du Sport au Sahel;Rue Okba Ibn Nafaa ;Sousse;+216 29 00 73 48 ;elite.d.sport@gmail.com
Association L'espoir Sportif Zaghouan;26 rue de L'Indépendance ;Zaghouan;+216 50 45 75 98 ;null
Association la Dame d'Echecs Bizerte;Maison des Jeunes El Kharaz ;Bizerte;+216 98 62 85 26 ;adebchess@hotmail.fr
Association la Dame d'échecs Bizerte-A.D.E.B;Maison des Jeune El Kharaz ;Bizerte;+216 98 62 85 26 ;adebchess@hotmail.fr
Association le Marin Sportif Zembra;El Haouaria ;Nabeul;+216 27 22 72 22 ;ams.zembra@gmail.com
Association les Aigles de Carthage;Avenue Omar Khalfa, Hammam Sousse ;Sousse;+216 98 55 85 89 ;null
Association les Tigres des Arts Martiaux Bembla;Bembla ;Monastir;+216 55 98 01 80 ;null
Association maison des jeunes pour les activités sportives;Cité Ibn Khaldoun Dahmani ;Kef;+216 78 28 23 60 ;null
Association Matmata sportive;Matmata ;Gabès;+216 97 55 55 51 ;masshassen@gmail.com
Association Outique de Kick Boxing et sports individuels;Outik ;Bizerte;+216 53 31 50 74  ;null
ASSOCIATION SAHELIENNE D'AIKIDO;Erriadh ;Sousse;+216 52 988 841 ;benkahla_nabil@yahoo.tr
Association Sportive AL Amana ;Kairouan ;Kairouan Sud;+216 94 45 56 51  ;tvtaamalah@gmail.com
Association Sportive Best Life Bizerte;Sidi Salem ;Bizerte;+216 24 24 28 15 ;achraf.blaou@hotmail.com
Association Sportive Bizerta Tri Xtreme;Essamadiya ;Bizerte;+216 22 04 71 79 ;bizertatrixtreme@gmail.com
Association sportive d'Horizon Kairouain ;Quartier Al-Salam, route Hafuz ;Kairouan Sud;+216 77 23 43 35 ;null
Association Sportive de Ghraiba;Ghariba ;Sfax;+216 28 07 87 80 ;null
Association Sportive de Golf de Djerba;Djerba Midoun ;Médenine;+216 22 92 76 48 ;asgd.djerba@gmail.com
Association sportive de gymnastique de Zaghouan;salle de sport olympico qym ;Zaghouan;+216 98 22 55 19 ;asgymz@gmail.com
Association sportive de Mahares;El Mahraes  ;Sfax;+216 26 08 01 28 ;null
Association Sportive de Menzel Bourguiba;Menzel Bourguiba ;Bizerte;+216 98 60 91 66 ;null
Association sportive défi Jbeniana;Jebeniana ;Jebeniana;+216 21 71 69 92 ;null
Association sportive Dekhilet Toujane;Dekhilet Toujane ;Gabès;+216 90 17 60 09 / 26 71 09 97 ;null
Association sportive des Arts Martiaux et Fitness;Route Menzel Abderrahmen ;Bizerte;+216 53 34 36 63 ;amf.sportive@gmail.com
Association Sportive El Battan;El Battan ;Manouba;+216 50 83 07 50 ;null
Association sportive Elhamma;Elhamma ;Gabès;+216 24 24 85 00 ;associationsh14@gmail.com
Association Sportive Féminine de Béja;Stade Boujemaa Kmiti ;Béja;+216 97 60 01 46 ;medsalah.mnekbi@gmail.com
Association sportive féminine de Gafsa;Stade Mohamed Gamoudi ;Gafsa;+216 50 75 80 69 ;footballtunisien@gmail.com
Association sportive féminine de Handball;Téboulba ;Monastir;+216 58 90 63 95 ;null
Association sportive féminine de Nefza;Nefza ;Béja;+216 55 23 74 78 ;atefsport@live.fr
Association Sportive Féminine De Sfax;Salle couverte ;Sfax;+216 74 85 39 75 ;association.sportive.sfax@gmail.com
Association sportive féminine Testour;Testour ;Béja;+216 58 80 71 82 ;dabbechmeher@gmail.com
Association sportive Hammamet;Hammamet ;Nabeul;null;null
Association sportive maison des jeunes Al Ain;Route Al Ain Km 55 ;Sfax;+216 97 22 99 35 ;ass.maisondijeuneelain@gmail.com
Association Sportive Maison des Jeunes Gremda;Maison des Jeunes Gremda ;Sfax;+216 29 56 69 38 ;tennis.gremda@gmail.com
Association Sportive Menzeh 6 ;El Menzah 6 ;Ariana;+216 27 24 02 88 / 98 61 22 21 ;null
Association Sportive Militaire de Gabès ;Avenue Habib Thameur ;Gabès;+216 75 27 48 88 ;null
Association Sportive Mini Football;Ksar Hellal ;Monastir;+216 26 66 29 66 ;null
Association Sportive Mnihla;El Mnihla ;Ariana;+216 20 04 35 03 ;rebaiboxer@gmail.com
Association Sportive Okba ;Salle de sport El Ksibi ;Kairouan Sud;+216 26 32 42 19 ;null
Association sportive pour les sports individuels à Mahrés;El Mahrés ;Sfax;+216 58 62 31 13 ;null
Association sportive zitouna;Salle couverte Sidi Amor Bou Hajla ;Kairouan;+216 98 45 08 70 ;null
Association Tunisie Aikido;Majoul ;Ben Arous;+216 22 53 95 84 ;null
ASSOCIATION TUNISIENNE AIKIDO & BUDO;centre culturel el Menzah 6 cité la Gazelle ;Tunis;+216 53 825 535 ;aikidotunisie@gmail.com
Association Tunisienne Autrichienne des Arts Martiaux;Avenue Mohamed Salah Baratli Rue sadic N°138 Wed elmarej ;Bizerte;+216 55 80 06 01 ;ataambizerte@gmail.com
Association Tunisienne de Hapkido;Boumhel ;Ben Arous;+216 24 77 11 23 ;null
Association Tunisienne De Kempo;Sidi Thabet ;Ariana;+216 23 18 91 74 ;null
Association Voix du Sourd de Tunisie;11 Rue d'Espagne ;Tunis;+216 71 32 33 00 ;info.avst@gmail.com
Astre Sportif de Menzel Ennour;Manzel Ennour ;Monastir;+216 73 56 84 44 ;asme.menzelennour1977@gmail.com
Athletic club Sousse;Boulevard Abdelhamid El Kadhi ;Sousse;+216 98 25 04 25 ;null
athletica;Rte de Gremda Km 4, Av Mohamed Jmal ;Sfax;+216 98 44 20 20 ;null
Athletika;Club Elyssa, parc de Sidi Bou Saïd La Marsa ;Tunis;+216 55 25 21 11 ;contact@athletika.tn
Athlétique club Saada Monastir;Stade Mustafa Ben Jannet ;Monastir;+216 22 43 18 46 ;null
Aube sportive EL-Guettar;Stade Municipale LALA-ASLG  ;El Guettar;+216 51 62 34 83 ;aubesportive@hotmail.com
Avenir sportif ain Jloula - ASAJ;Aïn Jloula ;Kairouan;null;null
Avenir Sportif Avicenne;38 Rue Avicenne ;Tunis;+216 22 52 56 81 ;monemhamdipro@gmail.com
Avenir Sportif de Chorbane;Chorbane ;Mahdia;+216 97 36 29 30 ;alibedoui96@gmail.com
Avenir sportif de Gabés ;Avenue Jammel Abd Ennaser ;Gabès;as.degabes@gmail.com;null
Avenir Sportif de Kasserine;Stade municipale ;Kasserine;+216 77 47 38 00 ;null
Avenir Sportif De La Marsa (ASM);La Marsa ;La Marsa;+216 98 221 939 ;contact@asmarsa.com
Avenir Sportif de M'saken - ASM;msaken ;Msaken;rugby.msaken@yahoo.com;null
Avenir Sportif de Medjez el Bab;club ali zwawi avenu habib borgiba, Medjez El Bab ;Béja;+216 21 49 47 98 ;asmb2011a@gmail.com
Avenir Sportif de Nefza;Route de Bizerte ;Nefza;+216 95 997 999 / 78 470 576 ;null
Avenir Sportif Ezzahra;Stade Ezzahra, Rue 2 mars 1934 ;Ben Arous;+216 22 30 80 65 ;avenirsportifezzahra@outlook.fr
Avenir Sportif Hbira;Hbira ;Mahdia;+216 20 55 51 07 ;adk2000@t-online.de
Avenir Sportif Hencha;Boîte postale N°3 ;El Hencha;+216 74 88 45 16 ;null
Avenir Sportif Lala;Stade Municipale LALA ;El Ksar;+216 46 244 821 ;salahraed10@gmail.com
Avenir Sportif Rejiche;Rejiche ;Mahdia;+216 73 68 72 22 ;contact@asrejiche.tn
Avenir sportive de Béja ;Centre ville ;Béja;+216 23 29 87 91 ;null
Aviron Tunisois;Quai-Voilier Tunis-Marine (TGM) 40 rue d’Espagne ;Tunis;+216 21 80 86 09 ;null
Babdida Centre Aquagym;2 Rue Lamine Chabi, Cité Ennasr II  ;Ariana;+216 71 82 82 30 ;null
Baby Gym Mahdia;Avenue Habib Bourgiba, ;Mahdia;+216 23 28 00 85 ;null
Badr Sportif Al Ain;Al Ain ;Sfax;+216 54 66 03 63 ;badrsportive@gmail.com
Bahya Ranch; R'mila ;Kalâa Elkébira;+216 52 50 06 26 ;bahyaranch@gmail.com
Balbouli Football Academy;Sahloul 4 ;Sousse;+216 93 07 00 70 ;balbouli.academy@gmail.com
Bardo Tunisia KickBoxing;centre ville ;Bardo;+216 23 96 96 44 ;null
Basket Club Mahdia;Rue Ali Belhareth  ;Mahdia;+216 23 97 42 24 ;basketclubmahdia@gmail.com
Baya Gym;Avenue Habib Achour Route du Complexe Sportif ;Manouba;+216 53 36 01 44 ;baya.gym@outlook.fr
BB GYM;2, Av. Mongi Slim L'Aouina ;Ariana;+216 70 94 31 52 ;bbgymcomercial@gmail.com
Bellakhal Sport;Rue Béhi Ladgham, Ras Djbel ;Bizerte;+216 98 71 53 68 ;null
BIG - GYM CENTRE DE SPORT MONASTIR;Cité de Rmada ;Monastir;+216 98 454 764 ;chokri_baccouch@hotmail.com
Big Gym ;Cité de Rmada ;Monastir;+216 98 45 47 64 ;null
BIG GYM;Manaret el Hammamet ;Hammamet;+216 52 52 89 50 ;null
Bizerta Paintball Park;Hotel sidi Salem ;Bizerte;+216 53 42 95 39 / 53 48 61 00 ;null
Blue Fitness Hammamet;Avenue Hédi Chaker ;Hammamet;+216 72 26 32 58 ;makram.attia@hotmail.com
Blue Gym Monastir; Hotel Amir Palace ;Monastir;+216 95 61 00 00 ;null
BODY ART;Immeuble Becha Centre, Route Teniour ;Sfax;+216 29 34 10 19 ;bodyart.tn@gmail.com
Body Factory Gym;27 Baghdad st, La Marsa ;Tunis;+216 36 38 03 77 ;null
Body Fitness Club;Centre Atek Avenue Habib Thameur El Mourouj 1 ;Ben Arous;+216 79 35 77 77 ;bodyfitness.club@yahoo.fr
BODY GYM;Cité Monôme ;Tunis;+216 29 92 30 62 ;null
BodyPro CLUB;Ezzahra ;Ben Arous;+216 23 23 29 29 ;bodyproclub2020@gmail.com
BodyRock Gym;Rue El Fouledh, Bardo ;Tunis;+216 53 10 15 62 ;null
BodyRock Gym Khaznadar;Denden ;Manouba;+216 54 32 08 00 ;null
Bodytec studio;Rue de l'Euro, immeuble Slim 1053 Lac 2 Tunis ;Tunis;+216 20 69 78 00 ;contact@bodytec-studio.tn
Bodytec Studio Sahloul 2;20 Rue Zakaria Ahmed, Sahloul 2 ;Sousse;+216 20 69 77 98 ;null
Bombonera GYM;La nouvelle Medina ;Ben Arous;+216 53 35 05 88 ;null
Boujezza sport;Rue Ibrahim Al-Khalil ;Kairouan;+216 98 62 06 28 ;rhaim.boujezza@gmail.com
Boxe Club;1, Mohamed Bayrem V sidi daoud, La Marsa ;Tunis;+216 20 43 24 38 ;null
C Foot;Lac ;Sousse;+216 73 524 228 / 24 017 550 ;trimechwael@yahoo.fr
C.F.Carthage;6 Rue Eschmoun, Carthage, Tunisia ;Tunis;cmcfcarthage@gmail.com;null
Cactus;Rue gharnatah a coté du hotel essaada ;Sousse;+216 25 992 800 ;null
California Gym Bardo;31, Av. Monji Slim, Bardo ;Tunis;+216 36 25 10 44 ;info@california-gym.com
CALIFORNIA GYM CUN;Urban Park, 8ieme étage, Centre Urbain Nord ;Tunis;+216 36 36 13 02 / 36 36 13 08 ;info@california-gym.com
CALIFORNIA GYM ENNASR;32, rue Manoubi Bel Hassine, Ennasr II ;Ariana;+216 71 81 33 83 ;info@california-gym.com
California Gym La Marsa;Avenue Taieb Mhiri, La Marsa ;Tunis;+216 71 74 46 93 ;info@california-gym.com
CALIFORNIA GYM LA MARSA;Avenue Taieb Mhiri ;La Marsa;+216 71 744 693 / 36 361 302 ;info@california-gym.com
California Gym La Soukra;Silver Mall ;Ariana;+216 36 20 34 32 ;info@california-gym.com
CALIFORNIA GYM LAC1;Immeuble les 4R, Rue du Lac Loch Ness, Les berges du Lac ;Tunis;+216 36 362 027 ;info@california-gym.com
CALIFORNIA GYM MALL;Tunisia Mall Les berges du Lac II ;Tunis;+216 36 36 40 53 ;info@california-gym.com
California Gym Platinum;Residence Lake Side Cité de l’île de Charrouin Cité les Pins - Berges Du Lac 2 ;Tunis;+216 36 36 26 80 ;platinum@california-gym.com
CALIFORNIA GYM SOUSSE;Centre commercial Tej Marhaba ;Sousse;+216 25 199 133 - 29 584 949 ;info@california-gym.com
CAP Gym Monastir;Port Marina ;Monastir;+216 23 71 70 90 ;aymen-theone@hotmail.fr
Cardio Gym;Immeuble ghalia ex ecoprix face de kiosque Shell ;Monastir Ville;+216 73 40 24 70 / 55 68 88 28 ;ramzimrabet84@gmail.com
Casa Fitness;Route taniour km 6 ;Sfax;+216 74 252 505 ;null
Caval-héros Monastir;Cité El Omran  ;Monastir;+216 97 83 18 33 ;clubcavalheros@gmail.com
Centre Athletic Club;1 Rue Okba Ibnou Nefaa ;Sousse;+216 99 76 46 60 ;athletic.club@yahoo.com
Centre Culturel et Sportif de la Jeunesse d'El Menzah 6;Rue Othmen Ibn Affen, Menzah 6 ;Ariana;+216 71 23 37 34 ;ccsjeunessem6@gmail.com
CENTRE DE FORMATION Ajyel El Ettihad (CFAE);c2 hay 2 n:63 ;Monastir;+216 20 107 155 / 97 600 931 ;fethi19@gmail.com
"Centre de plongée'' Dive Center bizerte""";Menzel Bourguiba ;Bizerte;+216 22 61 67 42 ;null
Centre De Sport Nabil;Sidi Salem -Houmet Paris -au dessus Hamem Bouchoucha ;Bizerte;+216 24 24 28 15 ;null
Centre Equestre Hajji Bizerte;Route Panoamique, Corniche ;Bizerte;+216 98 73 14 53 ;null
Centre Haifa;Borj Louzir ;Ariana;+216 55 44 22 20 ;null
Centre Kiné Pro;@ ;Testour;71 804 880 / 24 385 517 ;null
Centre Pyramide de Football;Rue lac chabala les berges du lac ;Tunis;+216 71 964 222 ;pyramide-club@hotmail.fr
Challenge Sportif;Ibn Khaldoun ;Tunis;+216 51 19 17 17 ;null
Challenger Fitness club pro;Rue des Violettes Dar-Chaabane-el-Fehri ;Nabeul;+216 23 02 55 00 ;imen00benyahia@gmail.com
Champion Boxing club; Rue chotrana petite Ariana ;Ariana;+216 22 08 95 10 ;boxingclub.c@gmail.com
Champions Sportifs Eljem;Eljem ;Mahdia;+216 25 56 78 10 ;null
CHAMS GyM;Route Soukra km 4 à côté de l’ENIS ;Sfax;+216 22 38 38 84 ;contact@chamsgym.tn
Chelly Sports;Khezama ;Sousse;+216 22 630 940 / 50 523 425 ;info@chelly-sports.com
Chess Teboulba;Téboulba ;Monastir;+216 23 93 59 65 ;aminekasparov1983@gmail.com
Cité Nationale Sportive;El Menzah  ;Tunis;+216 71 23 23 22 ;cns_manzah@cns.com.tn
Citrus Golf Club;BP 132 ;Hammamet;+216 72 226 500 / 20 226 500 ;booking@golfcitrus.com
Club 114; 114, Rue des Fruits - Chotrana III ;Soukra;+216 53 837 697 ;club114@topnet.tn
Club Africain;BP 155 Tunis Hached ;Tunis;+216 71 332 019 ;info@clubafricain.com.tn
Club Aghlabides de Natation Kairouan;Avenue de la République ;Kairouan;+216 52 53 49 33 / +216 77 230 044 ;cnakairouan@gmail.com
Club Al Hilal Sports de Tunis;9 Rue Georges Clemenceau ;Tunis;+216 24 18 08 72 ;null
Club Athlétique Bizertin;27 Avenue Hédi Chaker ;Bizerte;+216 72 42 44 01 ;webmaster@cab-officiel.com
Club Athlétique ERIHEN Gafsa;Centre d'athlétisme de Gafsa ;Gafsa;+24 20 13 07 ;bouallegueissam54@gmail.com
Club Automobile de Sfax;Centre ville ;Sfax;+216 28 31 67 46 ;clubautosfax@yahoo.fr
Club Basket-Ball Ksar Helall;Ksar Helall ;Monastir;+216 73 45 41 10 ;null
Club cycliste Ben Arous;Centre Ville ;Ben Arous;+216 93 95 82 59 ;club.cycliste.benarous@gmail.com
Club D'athlétisme Ksour Essef;Ksour Essef ;Mahdia;+216 53 45 37 11 ;rbennani62048@gmail.com
Club d'échecs Bouhjar;Bouhjar ;Monastir;+216 98 20 06 87 ;doghri_nabil@yahoo.fr
Club d'échecs de Kélibia;Kélibia ;Nabeul;+216 22 44 39 22 ;club_kelibia@live.fr
Club d'échecs Métouien;El Métouia ;Gabès;+216 29 50 80 26 ;null
Club D'Echecs Omrane supérieur;Maison des Jeunes Azouz Rbaii , IBN KHALDOUN ;Tunis;benalim10@gmail.com;null
Club d'équitation El Mouradi Cap Mahdia;Hôtel Abou Nawas, Hiboun ;Mahdia;+216 73 68 37 26 / 98 80 18 89  / 73 68 33 00 ;null
Club d'haltérophilie Menzel Temime;Menzel Temime ;Nabeul;+216 22 98 83 34 ;null
Club de Basket-Ball Soliman;Soliman ;Nabeul;+216 20 66 77 50 ;basket.soliman@gmail.com
Club de Football Sakiet Ezzit ;Sakiet Ezzit ;Sakiet Ezzit;+216 98 25 30 68 ;null
Club de Handball Ben Arous;Salle couverte ;Ben Arous;+216 24 24 86 32 ;null
Club de Handball Gabès;Stade municipal  ;Gabès;+216 21 20 04 49 ;kameldellaji@gmail.com
Club de Handball La Chebba;Chebba ;Mahdia;+216 73 64 31 83 ;null
Club de Natation de Ben Arous (CNBA);@ ;Megrine;71382300 ;null
Club de Natation de Monastir;Complexe sportif Mustapha ben Jannet ;Monastir;+216 98 34 38 37 ;null
Club de Pêche Sportive de Sfax;Route du nouveau port de pêche ;Sfax;+216 21 17 21 40 ;cpss@gnet.tn
Club de Plongée La Sirène - Djerba Diving Center;Djerba Diving Center ;Médenine;+216 98 42 37 18 ;plongee_sirene@yahoo.fr
Club de progrès sportif Al Tamimi;Menzel Temime ;Nabeul;+216 58 40 06 51 ;pact.1989mt@gmail.com
Club de tennis de Zaghouan;Cité sportive - Derrière salle couverte ;Zaghouan; +216 23 69 60 00 ;play@ctz.tn
Club de Tennis Trières;Rue Monji Slim ;Nabeul;+216 72 23 16 89 /  98 40 77 21 ;null
Club de Tir Abdallah Farhat Radès;Radès-Fôret ;Ben Arous;+216 71 43 49 10 ;null
Club de Tir sportif de Monastir; Avenue Hedi Khefacha, Skanes ;Monastir;+216 73 503 413 ;clubtirmonastir@yahoo.fr
Club de Tir Sportif de Sfax;centre ville ;Sfax;+216 41 55 35 16 ;null
Club de Tir Sportif de Sousse;Kalaa El Kebira ;Sousse;+216 98 40 35 56 ;null
Club de Tir Sportif de Zaghouan;Champ de Tir Sportif de Zaghouan ;Zaghouan;+216 28 77 31 73 ;clubdetirsportif.ctsz@gmail.com
Club De Voile Mahdia;Avenue Farhat Hached, à coté du salon de thé New Moon ;Mahdia;+216 58 60 79 81 ;abdelkaderessafi93@gmail.com
Club des activités de plongée de bizerte;Piscine municipale ;Bizerte;+216 22 61 67 42 ;null
Club des sports Nautiques de Soliman;Soliman ;Nabeul;+216 55 20 12 83 ;csn.soliman@gmail.com
Club des Sports Nautiques Kélibia;Kélibia ;Nabeul;+216 20 27 55 50 ;null
Club El Amal Sport;Cité Mzoughi Mourouj 4 ;Ben Arous;+216 36 11 86 41 ;null
Club Electro El Quods de judo;Salle Hay Chabeb près du stade Ali Zouaoui ;Kairouan;+216 26 60 08 73 ;null
Club équestre AZIZ;Route Mahdia km 17, Bderna ;Sfax;+216 25 89 78 74 ;club.equestre.aziz@gmail.com
Club Équestre Jafoura;Route de Menzel Chaker km 6 ;Menzel chaker;+216 29 91 61 04 ;dammak.ayoub@gmail.com
